ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,DIRECTORY,EDITION,PAGE,GRID_REFERENCE_X,GRID_REFERENCE_Y,LIGHT_CONDITION,LIGHT_CONDITION_DESC,NODE_ID_x,NO_OF_VEHICLES,NO_PERSONS,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_KILLED,NO_PERSONS_NOT_INJ,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,NODE_ID_y,NODE_TYPE,AMG_X,AMG_Y,LG_AREA_NAME,REGION_NAME,DEG_URBAN_NAME,LATITUDE,LONGITUDE,POSTCODE
12000033773,7/10/2000,18.10.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,MEL,40.0,29,K,11.0,2,Dusk/Dawn,29360,1,1,0,1,0,0,2,1,Cross intersection,3,60,29360.0,N,2497770.513,2413464.984,MORELAND,METROPOLITAN NORTH WEST REGION,Metropolitan Excluding CBD,-37.779790000000006,144.97468999999998,3054.0
12001001925,3/01/2001,20.50.00,3,Struck animal,4,Wednesday,167,STRUCK ANIMAL                        ,MEL,40.0,79,A,3.0,2,Dusk/Dawn,131904,1,1,1,0,0,0,1,5,Not at intersection,2,60,131904.0,N,2509892.996,2396930.786,KINGSTON,METROPOLITAN SOUTH EAST REGION,Metropolitan Excluding CBD,-37.928709999999995,145.11253,3169.0
12002039926,27/11/2002,10.30.00,3,Struck animal,4,Wednesday,167,STRUCK ANIMAL                        ,MEL,40.0,2M,K,12.0,1,Day,141933,1,1,0,1,0,0,2,5,Not at intersection,3,50,141933.0,N,2501578.512,2405417.67,STONNINGTON,METROPOLITAN SOUTH EAST REGION,Metropolitan Excluding CBD,-37.8523,145.01793999999998,3143.0
12004005492,1/02/2004,19.45.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,MEL,40.0,2J,G,9.0,1,Day,37458,1,1,0,1,0,0,1,2,T intersection,3,60,37458.0,I,2495332.798,2406005.117,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,Metropolitan Excluding CBD,-37.847,144.94697,3206.0
12004009462,6/02/2004,19.30.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,MEL,40.0,2P,G,1.0,1,Day,48932,1,1,0,1,0,0,2,2,T intersection,3,50,48932.0,I,2499173.999,2405185.091,STONNINGTON,METROPOLITAN SOUTH EAST REGION,Metropolitan Excluding CBD,-37.8544,144.99061,3181.0
22000004456,22/01/2000,07.58.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9.0,91,E,5.0,1,Day,158711,1,1,0,1,0,0,2,5,Not at intersection,3,100,158711.0,N,2346829.19,2364510.193,CORANGAMITE,SOUTH WESTERN REGION,Country,-38.20817,143.25117,3260.0
22000005220,4/02/2000,22.00.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9.0,519,N,9.0,5,Dark No street lights,158717,1,1,0,1,0,0,1,5,Not at intersection,3,100,158717.0,N,2388077.136,2308834.392,COLAC OTWAY,SOUTH WESTERN REGION,Country,-38.7155,143.71346,3233.0
22000005532,6/02/2000,22.00.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9.0,73,F,7.0,5,Dark No street lights,158718,1,2,0,2,0,0,1,5,Not at intersection,3,100,158718.0,N,2259985.965,2401993.249,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION,Country,-37.85217,142.27233999999999,3289.0
22000006756,31/01/2000,15.00.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9.0,566,B,9.0,1,Day,181311,1,1,0,1,0,0,2,5,Not at intersection,3,60,181311.0,N,2397836.338,2436598.02,BALLARAT,WESTERN REGION,Large Provincial Cities,-37.56576,143.84347,3350.0
22000007624,20/02/2000,00.15.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9.0,93,B,3.0,5,Dark No street lights,150004,1,1,0,1,0,0,2,5,Not at intersection,3,100,150004.0,N,2415145.14,2380906.853,GOLDEN PLAINS,SOUTH WESTERN REGION,Country,-38.06925,144.033,3321.0
22000009040,25/02/2000,00.10.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9.0,562,D,11.0,5,Dark No street lights,181326,2,3,2,1,0,0,1,5,Not at intersection,2,110,181326.0,N,2398894.501,2441551.781,BALLARAT,WESTERN REGION,Large Provincial Cities,-37.52124,143.85612,3350.0
22000009094,7/03/2000,05.45.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,MEL,40.0,421,K,6.0,9,Unknown,150017,1,1,0,1,0,0,1,5,Not at intersection,3,100,150017.0,N,2443237.245,2386011.78,GEELONG,SOUTH WESTERN REGION,Country,-38.0254,144.35352,3212.0
22000010572,8/03/2000,06.45.00,3,Struck animal,4,Wednesday,167,STRUCK ANIMAL                        ,VCS,9.0,77,C,7.0,1,Day,15533,1,1,0,1,0,0,2,5,Not at intersection,3,100,15533.0,N,2420317.634,2403923.406,GOLDEN PLAINS,SOUTH WESTERN REGION,Country,-37.86235,144.09443000000002,3333.0
22000010743,16/03/2000,21.15.00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL                        ,VCS,9.0,56,B,9.0,5,Dark No street lights,181343,1,1,0,1,0,0,2,5,Not at intersection,3,100,181343.0,N,2285382.101,2445784.521,ARARAT,WESTERN REGION,Country,-37.46393,142.57351,3379.0
22000011021,21/03/2000,21.05.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,VCS,9.0,77,F,2.0,5,Dark No street lights,150040,1,1,1,0,0,0,1,5,Not at intersection,2,100,150040.0,N,2439156.976,2442613.854,MOORABOOL,WESTERN REGION,Small Towns,-37.515159999999995,144.31171,3458.0
22000011075,18/03/2000,12.30.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9.0,58,E,8.0,1,Day,181349,1,1,0,1,0,0,2,5,Not at intersection,3,100,181349.0,N,2391113.937,2455445.287,BALLARAT,WESTERN REGION,Country,-37.395179999999996,143.77014,3364.0
22000013367,3/04/2000,16.30.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,MEL,40.0,334,C,3.0,1,Day,150067,1,1,1,0,0,0,2,5,Not at intersection,2,60,150067.0,N,2451961.485,2426184.103,MOORABOOL,WESTERN REGION,Country,-37.66395,144.45549,3340.0
22000014272,20/04/2000,21.25.00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL                        ,VCS,9.0,75,D,9.0,5,Dark No street lights,158749,2,6,0,1,0,5,1,5,Not at intersection,3,100,158749.0,N,2338771.123,2392063.854,CORANGAMITE,SOUTH WESTERN REGION,Country,-37.95862,143.16525,3325.0
22000015808,8/05/2000,18.50.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9.0,59,G,8.0,5,Dark No street lights,150091,1,1,0,1,0,0,1,5,Not at intersection,3,100,150091.0,N,2439513.557,2457485.961,HEPBURN,WESTERN REGION,Country,-37.381170000000004,144.31695,3458.0
22000016818,20/03/2000,06.45.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9.0,90,H,6.0,5,Dark No street lights,158761,1,4,0,1,0,3,2,5,Not at intersection,3,100,158761.0,N,2324168.775,2355992.348,CORANGAMITE,SOUTH WESTERN REGION,Country,-38.28085,142.99047,3266.0
22000017033,8/05/2000,18.30.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9.0,453,F,14.0,5,Dark No street lights,150101,1,1,1,0,0,0,1,5,Not at intersection,2,100,150101.0,N,2431703.731,2353241.654,SURF COAST,SOUTH WESTERN REGION,Country,-38.319829999999996,144.2191,3228.0
22000019466,2/06/2000,18.30.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9.0,39,C,8.0,5,Dark No street lights,181406,1,2,0,1,0,1,1,5,Not at intersection,3,100,181406.0,N,2201109.551,2505992.406,WEST WIMMERA,WESTERN REGION,Country,-36.89853,141.64536999999999,3409.0
22000024952,23/07/2000,00.15.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9.0,74,F,5.0,5,Dark No street lights,181437,1,2,0,1,0,1,1,5,Not at intersection,3,80,181437.0,N,2310594.74,2419419.212,ARARAT,WESTERN REGION,Country,-37.70689,142.85173999999998,3351.0
